domain,access,articles_n,created,url
united24media.com,open,385,2026-09-11,https://united24media.com/world/what-happens-when-russia-has-enough-rassvet-satellites-to-control-drones-across-europe-22445
united24media.com,open,385,2026-09-11,https://united24media.com/world/combat-proven-robotics-meet-ai-swarm-tech-in-224-million-deal-between-swarmer-and-ratel-robotics-22457
nytimes.com,hard_paywall,160,2026-09-11,https://www.nytimes.com/2026/09/10/us/politics/anthropic-ai-biological-weapons.html
nytimes.com,hard_paywall,160,2026-09-10,https://www.nytimes.com/2026/09/09/world/europe/ukraine-war-cost.html
ft.com,hard_paywall,157,2026-09-11,https://www.ft.com/content/de71f35d-37b2-4d4b-ae4a-489d454b74bf
ft.com,hard_paywall,157,2026-09-11,https://www.ft.com/content/f054f927-b512-452a-b494-ea53f5ac1079
theguardian.com,open,155,2026-09-11,https://www.theguardian.com/us-news/2026/sep/10/september-11-attacks-remembering-quotes
theguardian.com,open,155,2026-09-11,https://www.theguardian.com/world/2026/sep/11/ukraine-war-briefing-nato-foils-russian-undersea-cable-sabotage-drill
foreignaffairs.com,hard_paywall,149,2026-09-11,https://www.foreignaffairs.com/russia/coming-risks-russian-power
foreignaffairs.com,hard_paywall,149,2026-09-11,https://www.foreignaffairs.com/united-states/sept-11-how-al-qaeda-ended
telegraph.co.uk,hard_paywall,137,2026-09-09,https://www.telegraph.co.uk/world-news/2026/09/09/ukraine-is-quietly-destroying-russias-irreplaceable-bombers/
telegraph.co.uk,hard_paywall,137,2026-09-08,https://www.telegraph.co.uk/news/2026/09/07/army-to-mobilise-veterans-war-preparation/
thetimes.com,hard_paywall,131,2026-09-09,https://www.thetimes.com/world/russia-ukraine-war/article/british-educated-russian-ilya-kolunov-building-mariupols-ruins-n7bghxxgc
thetimes.com,hard_paywall,131,2026-09-09,https://www.thetimes.com/world/russia-ukraine-war/article/ukrainian-jail-africans-duped-war-russia-2zjtv9m9h
economist.com,hard_paywall,125,2026-09-11,https://www.economist.com/europe/2026/09/10/the-afd-is-making-the-weather-in-german-politics
economist.com,hard_paywall,125,2026-09-11,https://www.economist.com/europe/2026/09/10/russia-has-turned-its-schools-into-indoctrination-machines
bloomberg.com,hard_paywall,113,2026-09-11,https://www.bloomberg.com/news/articles/2026-09-11/openai-is-open-to-slowing-cutting-edge-ai-ceo-sam-altman-tells-staff
bloomberg.com,hard_paywall,113,2026-09-09,https://www.bloomberg.com/news/articles/2026-09-08/kyiv-s-allies-see-war-going-into-2027-after-putin-met-us-envoys
wsj.com,hard_paywall,104,2026-09-10,https://www.wsj.com/politics/policy/trumps-5-000-dividend-promise-is-his-biggest-election-gambit-yet-725094ab
wsj.com,hard_paywall,104,2026-09-10,https://www.wsj.com/world/europe/the-baltic-country-calling-for-calm-in-the-face-of-russian-threat-afdcfa2f
washingtonpost.com,hard_paywall,83,2026-09-10,https://www.washingtonpost.com/world/2026/09/09/plane-carrying-zelensky-threatened-by-drone-moldova-norways-premier-says/
washingtonpost.com,hard_paywall,83,2026-09-10,https://www.washingtonpost.com/technology/2026/09/09/peter-thiel-backed-firm-make-low-cost-missiles-amid-us-shortage/
pravda.com.ua,open,82,2026-09-08,https://www.pravda.com.ua/news/2026/09/08/8052380/
pravda.com.ua,open,82,2026-09-06,https://www.pravda.com.ua/news/2026/09/06/8052111/
